,s1,s2,s3,s4,target
136,1588.4,1409.37,2388.18,47.69,2388.15
137,1596.72,1416.17,2388.15,47.6,2388.14
138,1589.09,1406.51,2388.1,47.49,2388.12
139,1586.17,1411.97,2388.15,47.45,2388.07
140,1594.76,1408.88,2388.12,47.59,2388.08
141,1594.72,1396.96,2388.15,47.57,2388.11
142,1588.79,1402.3,2388.18,47.59,2388.13
143,1584.76,1410.91,2388.06,47.43,2388.13
144,1591.13,1403.62,2388.15,47.37,2388.15
145,1593.86,1403.67,2388.06,47.43,2388.16
146,1588.38,1407.19,2388.12,47.49,2388.09
147,1587.1,1402.64,2388.11,47.66,2388.12
148,1593.78,1408.36,2388.13,47.72,2388.1
149,1590.88,1403.08,2388.1,47.5,2388.14
150,1592.03,1411.56,2388.11,47.43,2388.09
151,1588.93,1398.3,2388.18,47.48,2388.15
152,1582.79,1414.7,2388.14,47.59,2388.11
153,1588.15,1408.27,2388.16,47.61,2388.14
154,1589.72,1410.16,2388.16,47.54,2388.14
155,1587.92,1400.94,2388.08,47.67,2388.09
156,1589.54,1417.26,2388.11,47.68,2388.1
157,1592.56,1410.4,2388.16,47.58,2388.07
158,1586.45,1412.77,2388.14,47.7,2388.12
159,1595.2,1406.33,2388.12,47.68,2388.08
160,1592.56,1402.49,2388.1,47.7,2388.15
161,1586.48,1404.24,2388.07,47.45,2388.11
162,1592.66,1411.4,2388.14,47.71,2388.17
163,1591.55,1409.58,2388.16,47.59,2388.13
164,1591.29,1407.71,2388.09,47.58,2388.14
165,1592.97,1405.32,2388.18,47.49,2388.11
166,1588.19,1416.54,2388.17,47.76,2388.16
167,1596.58,1416.47,2388.1,47.62,2388.14
168,1591.76,1410.42,2388.13,47.6,2388.07
169,1585.42,1408.64,2388.17,47.56,2388.1
170,1591.6,1404.14,2388.14,47.42,2388.15
171,1593.36,1416.24,2388.14,47.41,2388.11
172,1593.29,1407.25,2388.16,47.49,2388.16
173,1588.4,1413.49,2388.16,47.64,2388.11
174,1595.37,1408.57,2388.1,47.61,2388.16
175,1588.76,1406.08,2388.15,47.63,2388.18
176,1588.9,1408.72,2388.13,47.45,2388.16
177,1596.3,1409.74,2388.14,47.53,2388.16
178,1594.95,1409.94,2388.16,47.5,2388.19
179,1600.07,1412.83,2388.11,47.55,2388.11
180,1586.97,1408.99,2388.16,47.58,2388.12
181,1589.51,1409.89,2388.14,47.61,2388.1
182,1589.52,1411.25,2388.15,47.53,2388.1
183,1591.47,1409.8,2388.15,47.78,2388.16
184,1586.09,1405.36,2388.12,47.59,2388.18
185,1589.98,1414.6,2388.11,47.75,2388.1
186,1589.16,1408.58,2388.08,47.57,2388.13
187,1593.72,1411.86,2388.11,47.59,2388.13
188,1593.51,1411.08,2388.1,47.6,2388.14
189,1582.46,1409.54,2388.18,47.59,2388.16
190,1589.99,1419.21,2388.16,47.68,2388.13
191,1592.61,1416.75,2388.12,47.66,2388.14
192,1595.38,1416.07,2388.12,47.58,2388.17
193,1592.08,1419.01,2388.21,47.82,2388.14
194,1592.38,1414.57,2388.14,47.68,2388.17
195,1592.18,1410.33,2388.13,47.66,2388.21
196,1592.16,1418.62,2388.15,47.81,2388.13
197,1596.46,1411.02,2388.13,47.73,2388.14
198,1589.86,1414.47,2388.19,47.46,2388.18
199,1599.49,1416.64,2388.14,47.88,2388.14
200,1595.36,1412.36,2388.18,47.64,2388.15
201,1597.83,1412.76,2388.15,47.75,2388.2
202,1596.49,1409.72,2388.2,47.67,2388.16
203,1590.49,1412.78,2388.13,47.61,2388.16
204,1588.64,1412.6,2388.19,47.62,2388.21
205,1589.75,1418.89,2388.16,47.88,2388.14
206,1589.43,1399.93,2388.05,47.44,2388.15
207,1591.83,1406.26,2388.11,47.4,2388.1
208,1590.84,1409.67,2388.08,47.41,2388.07
209,1589.02,1402.18,2388.11,47.56,2388.08
210,1584.92,1410.31,2388.07,47.35,2388.11
211,1588.37,1410.51,2388.04,47.32,2388.11
212,1586.93,1411.36,2388.09,47.33,2388.09
213,1586.81,1410.31,2388.1,47.59,2388.09
214,1585.09,1408.07,2388.06,47.31,2388.09
215,1586.65,1411.38,2388.1,47.44,2388.09
216,1585.37,1406.97,2388.08,47.42,2388.12
217,1594.56,1409.7,2388.08,47.41,2388.13
218,1588.32,1409.92,2388.09,47.2,2388.11
219,1587.11,1400.63,2388.08,47.54,2388.11
220,1590.22,1404.72,2388.08,47.7,2388.12
221,1587.79,1414.51,2388.14,47.36,2388.14
222,1593.3,1402.81,2388.09,47.66,2388.12
223,1581.83,1400.02,2388.04,47.41,2388.08
224,1589.28,1411.29,2388.05,47.54,2388.11
225,1589.97,1406.34,2388.12,47.49,2388.12
226,1587.33,1404.82,2388.07,47.59,2388.09
227,1588.4,1403.71,2388.07,47.52,2388.06
228,1595.32,1411.22,2388.06,47.47,2388.1
229,1586.23,1398.85,2388.08,47.49,2388.14
230,1596.06,1396.85,2388.09,47.42,2388.1
231,1589.57,1405.38,2388.1,47.52,2388.15
232,1587.17,1394.09,2388.08,47.48,2388.09
233,1585.41,1405.1,2388.08,47.42,2388.12
234,1588.03,1401.49,2388.1,47.53,2388.07
235,1596.08,1403.26,2388.11,47.55,2388.08
236,1583.81,1406.76,2388.08,47.42,2388.1
237,1590.49,1404.87,2388.11,47.55,2388.09
238,1589.11,1408.71,2388.02,47.45,2388.07
239,1590.25,1407.98,2388.11,47.44,2388.1
240,1586.87,1406.68,2388.08,47.55,2388.11
241,1575.35,1408.04,2388.05,47.34,2388.09
242,1594.54,1411.48,2388.08,47.5,2388.1
243,1589.07,1407.85,2388.02,47.41,2388.14
244,1591.71,1402.97,2388.14,47.63,2388.07
245,1591.44,1403.57,2388.16,47.45,2388.08
246,1582.22,1408.36,2388.02,47.57,2388.08
247,1591.08,1410.23,2388.1,47.34,2388.05
248,1589.85,1413.24,2388.13,47.56,2388.09
249,1583.4,1410.64,2388.11,47.46,2388.08
250,1588.56,1401.74,2388.13,47.42,2388.12
251,1588.99,1415.92,2388.14,47.52,2388.12
252,1584.98,1417.65,2388.13,47.52,2388.1
253,1588.73,1404.99,2388.1,47.37,2388.08
254,1587.95,1403.75,2388.09,47.31,2388.14
255,1592.43,1408.98,2388.07,47.53,2388.08
256,1599.9,1410.57,2388.08,47.23,2388.11
257,1589.6,1405.06,2388.12,47.36,2388.06
258,1591.38,1404.04,2388.14,47.6,2388.14
259,1584.04,1408.04,2388.09,47.43,2388.08
260,1594.35,1404.42,2388.11,47.52,2388.08
261,1586.34,1409.02,2388.1,47.46,2388.07
262,1589.66,1402.8,2388.11,47.59,2388.13
263,1592.13,1409.75,2388.09,47.56,2388.09
264,1589.74,1405.12,2388.17,47.53,2388.07
265,1592.96,1408.14,2388.13,47.47,2388.09
266,1582.95,1411.08,2388.04,47.51,2388.11
267,1586.55,1404.68,2388.09,47.6,2388.07
268,1586.29,1414.63,2388.09,47.54,2388.11
269,1587.07,1402.55,2388.14,47.56,2388.08
270,1596.38,1408.79,2388.15,47.71,2388.11
271,1593.7,1408.28,2388.07,47.69,2388.12
272,1594.68,1401.93,2388.12,47.23,2388.15
273,1583.28,1409.46,2388.07,47.29,2388.1
274,1587.56,1411.8,2388.1,47.42,2388.13
275,1588.74,1414.23,2388.08,47.63,2388.12
276,1594.78,1406.61,2388.1,47.55,2388.11
277,1591.28,1410.92,2388.07,47.49,2388.1
278,1593.58,1408.49,2388.17,47.57,2388.08
279,1590.95,1409.85,2388.11,47.61,2388.12
280,1587.13,1413.85,2388.07,47.65,2388.07
281,1583.44,1408.32,2388.13,47.7,2388.15
282,1593.88,1407.84,2388.12,47.56,2388.1
283,1583.03,1404.69,2388.11,47.67,2388.11
284,1592.36,1406.71,2388.11,47.45,2388.15
285,1594.92,1408.49,2388.14,47.56,2388.11
286,1593.64,1399.23,2388.09,47.63,2388.15
287,1593.22,1409.25,2388.15,47.63,2388.13
288,1593.58,1407.82,2388.12,47.52,2388.08
289,1584.66,1413.56,2388.11,47.7,2388.09
290,1591.57,1411.42,2388.15,47.54,2388.13
291,1591.83,1412.46,2388.1,47.63,2388.1
292,1595.46,1418.02,2388.08,47.43,2388.1
293,1593.83,1409.42,2388.1,47.5,2388.1
294,1590.74,1407.4,2388.06,47.61,2388.13
295,1588.48,1413.15,2388.1,47.39,2388.16
296,1584.31,1405.12,2388.13,47.6,2388.19
297,1591.03,1403.33,2388.12,47.47,2388.05
298,1589.05,1403.4,2388.14,47.63,2388.09
299,1591.52,1411.78,2388.06,47.58,2388.12
300,1595.14,1412.25,2388.18,47.56,2388.14
301,1594.38,1412.05,2388.1,47.64,2388.14
302,1591.35,1410.58,2388.17,47.66,2388.14
303,1590.32,1415.04,2388.14,47.56,2388.13
304,1585.88,1407.76,2388.16,47.7,2388.09
305,1592.05,1410.14,2388.15,47.58,2388.12
306,1594.27,1416.02,2388.16,47.59,2388.08
307,1588.87,1418.38,2388.03,47.61,2388.07
308,1594.26,1414.05,2388.09,47.58,2388.13
309,1588.92,1406.16,2388.15,47.68,2388.14
310,1593.01,1408.21,2388.18,47.69,2388.12
311,1594.53,1406.88,2388.13,47.65,2388.11
312,1590.79,1402.02,2388.07,47.37,2388.07
313,1581.46,1409.7,2388.06,47.54,2388.11
314,1586.05,1407.64,2388.06,47.27,2388.11
315,1585.93,1403.47,2388.15,47.43,2388.09
316,1583.4,1407.29,2388.12,47.48,2388.01
317,1581.43,1410.88,2388.05,47.49,2388.07
318,1592.72,1406.89,2388.1,47.5,2388.17
319,1590.58,1403.19,2388.09,47.48,2388.11
320,1586.98,1409.36,2388.12,47.41,2388.09
321,1595.37,1409.32,2388.11,47.61,2388.11
322,1583.73,1410.89,2388.08,47.64,2388.1
323,1592.65,1407.6,2388.06,47.27,2388.07
324,1586.89,1399.86,2388.1,47.44,2388.1
325,1589.04,1410.28,2388.07,47.38,2388.13
326,1591.4,1408.02,2388.13,47.57,2388.07
327,1585.55,1403.05,2388.05,47.39,2388.06
328,1592.26,1404.67,2388.04,47.38,2388.06
329,1587.0,1407.73,2388.09,47.57,2388.06
330,1583.57,1406.58,2388.12,47.57,2388.05
331,1584.55,1407.78,2388.08,47.47,2388.12
332,1587.95,1400.07,2388.11,47.45,2388.1
333,1589.88,1405.88,2388.1,47.43,2388.11
334,1588.12,1413.32,2388.09,47.64,2388.05
335,1590.1,1408.43,2388.08,47.29,2388.05
336,1586.13,1403.27,2388.07,47.54,2388.03
337,1592.16,1413.16,2388.09,47.57,2388.07
338,1589.0,1403.47,2388.08,47.46,2388.06
339,1585.36,1410.46,2388.08,47.51,2388.03
340,1591.3,1402.13,2388.13,47.56,2388.14
341,1587.2,1408.61,2388.09,47.54,2388.13
342,1595.01,1408.24,2388.12,47.29,2388.1
343,1593.09,1407.21,2388.06,47.38,2388.07
344,1598.76,1402.82,2388.05,47.58,2388.14
345,1589.95,1408.65,2388.1,47.41,2388.1
346,1586.45,1406.95,2388.12,47.47,2388.1
347,1586.78,1406.1,2388.13,47.53,2388.13
348,1588.21,1408.39,2388.14,47.54,2388.1
349,1592.87,1407.46,2388.09,47.47,2388.06
350,1590.86,1408.87,2388.05,47.33,2388.12
351,1590.26,1410.03,2388.15,47.35,2388.16
352,1591.26,1410.14,2388.14,47.49,2388.06
353,1586.0,1406.52,2388.11,47.7,2388.17
354,1593.83,1409.29,2388.03,47.52,2388.09
355,1591.0,1407.6,2388.11,47.53,2388.12
356,1592.06,1396.4,2388.09,47.52,2388.07
357,1588.79,1404.52,2388.09,47.44,2388.08
358,1589.16,1411.95,2388.11,47.67,2388.05
359,1592.54,1402.93,2388.12,47.58,2388.11
360,1595.65,1411.68,2388.1,47.51,2388.12
361,1591.74,1411.02,2388.1,47.54,2388.1
362,1589.56,1406.62,2388.13,47.46,2388.11
363,1587.6,1402.85,2388.12,47.33,2388.11
364,1594.8,1407.66,2388.07,47.54,2388.09
365,1586.73,1403.87,2388.11,47.32,2388.12
366,1590.08,1407.59,2388.18,47.59,2388.17
367,1584.71,1403.81,2388.08,47.41,2388.12
368,1582.23,1412.64,2388.11,47.33,2388.08
369,1588.24,1410.65,2388.11,47.47,2388.1
370,1594.93,1401.54,2388.16,47.57,2388.08
371,1581.39,1403.83,2388.12,47.5,2388.14
372,1577.71,1407.17,2388.13,47.4,2388.11
373,1598.65,1411.5,2388.12,47.61,2388.13
374,1584.26,1409.25,2388.12,47.39,2388.19
375,1593.07,1409.28,2388.11,47.57,2388.13
376,1585.72,1404.07,2388.1,47.49,2388.08
377,1595.7,1415.07,2388.08,47.43,2388.12
378,1586.59,1410.29,2388.1,47.53,2388.06
379,1583.33,1413.17,2388.13,47.6,2388.11
380,1595.41,1408.83,2388.11,47.52,2388.11
381,1584.23,1402.19,2388.05,47.75,2388.11
382,1587.4,1401.66,2388.19,47.59,2388.12
383,1589.65,1407.22,2388.12,47.5,2388.12
384,1596.15,1405.19,2388.09,47.54,2388.06
385,1591.81,1416.1,2388.16,47.76,2388.15
386,1591.23,1412.91,2388.07,47.6,2388.11
387,1587.58,1410.89,2388.12,47.63,2388.11
388,1586.27,1405.68,2388.18,47.68,2388.13
389,1588.24,1408.74,2388.09,47.58,2388.14
390,1592.13,1409.09,2388.12,47.73,2388.09
391,1596.86,1403.07,2388.14,47.47,2388.06
392,1586.6,1416.88,2388.14,47.5,2388.12
393,1586.81,1407.28,2388.13,47.58,2388.11
394,1594.76,1409.45,2388.12,47.68,2388.1
395,1590.15,1411.01,2388.14,47.41,2388.13
396,1588.8,1413.99,2388.12,47.57,2388.14
397,1596.15,1405.24,2388.08,47.66,2388.09
398,1596.18,1407.59,2388.13,47.72,2388.16
399,1588.13,1409.51,2388.08,47.45,2388.12
400,1592.55,1408.93,2388.1,47.44,2388.09
401,1586.65,1414.15,2388.09,47.5,2388.11
402,1593.15,1402.77,2388.13,47.59,2388.06
403,1587.08,1408.19,2388.14,47.52,2388.14
404,1585.55,1405.57,2388.13,47.6,2388.16
405,1592.41,1406.52,2388.19,47.41,2388.15
406,1589.97,1408.78,2388.1,47.66,2388.15
407,1592.44,1409.13,2388.12,47.75,2388.12
408,1593.08,1415.19,2388.1,47.4,2388.1
409,1589.94,1419.36,2388.1,47.46,2388.15
410,1590.15,1408.02,2388.08,47.35,2388.08
411,1584.08,1413.33,2388.05,47.35,2388.08
412,1591.55,1407.27,2388.05,47.35,2388.1
413,1587.86,1406.12,2388.12,47.37,2388.06
414,1591.8,1407.1,2388.08,47.37,2388.11
415,1590.11,1408.48,2388.1,47.4,2388.04
416,1584.31,1399.97,2388.09,47.62,2388.09
417,1586.09,1408.93,2388.08,47.41,2388.12
418,1591.44,1409.82,2388.05,47.47,2388.07
419,1588.22,1406.35,2388.12,47.33,2388.14
420,1592.12,1409.24,2388.09,47.4,2388.06
421,1588.07,1409.32,2388.05,47.72,2388.1
422,1583.43,1398.87,2388.1,47.65,2388.06
423,1587.32,1406.07,2388.14,47.48,2388.1
424,1592.32,1406.72,2388.13,47.5,2388.07
425,1588.38,1413.98,2388.06,47.46,2388.08
426,1586.96,1399.33,2388.12,47.37,2388.13
427,1591.12,1401.89,2388.06,47.5,2388.03
428,1585.56,1405.83,2388.06,47.61,2388.0
429,1594.53,1402.15,2388.11,47.52,2388.09
430,1585.4,1411.95,2388.11,47.37,2388.08
431,1589.93,1409.23,2388.09,47.53,2388.03
432,1593.82,1410.48,2388.06,47.41,2388.09
433,1589.33,1407.11,2388.06,47.43,2388.1
434,1583.81,1403.7,2388.16,47.49,2388.19
435,1593.87,1404.94,2388.09,47.37,2388.09
436,1583.97,1404.43,2388.13,47.38,2388.11
437,1588.49,1404.82,2388.07,47.35,2388.11
438,1591.59,1399.5,2388.12,47.43,2388.08
439,1599.65,1404.18,2388.1,47.58,2388.11
440,1591.84,1407.47,2388.09,47.61,2388.05
441,1594.31,1412.26,2388.15,47.56,2388.07
442,1584.88,1411.94,2388.12,47.55,2388.13
443,1589.25,1407.82,2388.07,47.33,2388.07
444,1589.03,1406.63,2388.07,47.41,2388.11
445,1585.69,1404.53,2388.08,47.36,2388.1
446,1594.55,1406.04,2388.07,47.5,2388.1
447,1592.53,1395.94,2388.06,47.43,2388.06
448,1592.82,1403.22,2388.09,47.45,2388.03
449,1586.88,1414.76,2388.1,47.6,2388.09
450,1589.09,1407.81,2388.12,47.42,2388.1
451,1594.35,1405.83,2388.08,47.51,2388.08
452,1584.08,1403.06,2388.15,47.29,2388.06
453,1591.69,1409.01,2388.11,47.63,2388.12
454,1583.65,1414.47,2388.11,47.63,2388.1
455,1587.81,1406.96,2388.07,47.44,2388.04
456,1589.15,1403.87,2388.1,47.33,2388.07
457,1590.43,1402.82,2388.1,47.24,2388.1
458,1592.88,1401.09,2388.08,47.42,2388.07
459,1588.87,1410.2,2388.08,47.41,2388.11
460,1588.25,1406.42,2388.07,47.28,2388.19
461,1595.71,1407.25,2388.14,47.5,2388.07
462,1587.64,1405.64,2388.11,47.43,2388.06
463,1592.32,1404.04,2388.09,47.41,2388.11
464,1593.16,1406.02,2388.06,47.43,2388.11
465,1587.68,1410.7,2388.1,47.33,2388.11
466,1586.87,1409.17,2388.11,47.57,2388.14
467,1588.6,1397.56,2388.08,47.52,2388.09
468,1583.04,1405.37,2388.08,47.49,2388.06
469,1584.27,1412.24,2388.12,47.35,2388.11
470,1585.26,1406.79,2388.13,47.41,2388.09
471,1591.45,1413.67,2388.11,47.68,2388.13
472,1586.78,1404.07,2388.11,47.57,2388.05
473,1590.56,1411.15,2388.14,47.62,2388.07
474,1591.51,1402.89,2388.12,47.5,2388.13
475,1589.54,1406.23,2388.09,47.51,2388.1
476,1592.75,1409.08,2388.13,47.37,2388.14
477,1589.74,1409.74,2388.08,47.53,2388.1
478,1596.54,1403.32,2388.1,47.32,2388.12
479,1595.85,1404.97,2388.1,47.43,2388.12
480,1590.06,1402.53,2388.12,47.52,2388.13
481,1591.96,1410.35,2388.09,47.43,2388.11
482,1592.19,1406.37,2388.12,47.59,2388.08
483,1592.87,1411.19,2388.06,47.45,2388.11
484,1587.75,1412.69,2388.08,47.43,2388.07
485,1591.16,1413.66,2388.08,47.47,2388.09
486,1593.28,1410.19,2388.1,47.33,2388.08
487,1584.38,1404.31,2388.06,47.42,2388.12
488,1590.83,1401.59,2388.09,47.46,2388.1
489,1596.73,1418.48,2388.08,47.58,2388.11
490,1577.57,1406.42,2388.09,47.47,2388.09
491,1589.58,1404.85,2388.1,47.42,2388.14
492,1589.36,1412.88,2388.14,47.47,2388.14
493,1584.01,1408.34,2388.09,47.39,2388.02
494,1586.6,1410.68,2388.08,47.63,2388.07
495,1591.13,1406.25,2388.15,47.46,2388.07
496,1586.38,1409.82,2388.07,47.61,2388.11
497,1592.67,1415.76,2388.12,47.56,2388.07
498,1591.77,1407.33,2388.1,47.55,2388.14
499,1589.5,1409.84,2388.11,47.37,2388.12
500,1586.62,1406.83,2388.08,47.48,2388.12
501,1598.35,1409.61,2388.14,47.59,2388.09
502,1592.38,1411.24,2388.09,47.6,2388.05
503,1594.83,1408.5,2388.08,47.37,2388.09
504,1583.08,1411.22,2388.11,47.65,2388.16
505,1592.1,1407.44,2388.12,47.54,2388.13
506,1585.14,1408.46,2388.09,47.34,2388.14
507,1593.11,1405.7,2388.13,47.5,2388.13
508,1591.29,1406.24,2388.12,47.42,2388.11
509,1583.26,1413.5,2388.1,47.6,2388.15
510,1590.03,1405.53,2388.18,47.57,2388.14
511,1591.53,1406.26,2388.14,47.6,2388.1
512,1587.59,1405.06,2388.16,47.43,2388.08
513,1588.58,1408.88,2388.11,47.47,2388.11
514,1586.94,1404.49,2388.14,47.51,2388.15
515,1587.18,1399.82,2387.96,47.19,2388.03
516,1578.49,1400.3,2388.03,47.22,2388.0
517,1577.27,1395.02,2388.02,46.94,2388.02
518,1575.94,1403.27,2387.99,47.35,2388.0
519,1584.32,1402.06,2388.05,47.23,2388.01
520,1585.65,1396.34,2388.05,47.07,2387.96
521,1578.19,1392.9,2388.01,47.27,2388.07
522,1581.56,1401.18,2388.0,47.28,2388.03
523,1579.13,1394.7,2388.08,47.2,2388.03
524,1579.17,1401.72,2388.02,47.04,2388.03
525,1589.29,1393.1,2388.01,47.26,2388.01
526,1572.37,1398.7,2388.01,47.07,2388.01
527,1585.94,1400.12,2388.03,47.25,2388.01
528,1581.51,1403.54,2388.04,47.21,2388.02
529,1578.13,1389.95,2388.0,47.21,2388.02
530,1584.71,1393.76,2388.02,47.37,2388.02
531,1585.05,1396.23,2387.94,47.19,2388.02
532,1579.68,1392.6,2388.05,47.12,2388.05
533,1583.63,1396.62,2388.03,47.23,2387.98
534,1586.02,1390.45,2387.98,47.06,2387.98
535,1581.78,1385.67,2388.03,47.16,2388.01
536,1583.13,1398.81,2388.02,47.06,2387.99
